កករចិត្ត	កករ-ចិត្ត
ការបន្តពូជ	ការ-បន្តពូជ
ការបន្តពូជភេទ	ការ-បន្តពូជភេទ
ការបន្តពូជអភេទ	ការ-បន្តពូជអភេទ
ការបំបែកកិរិយាសព្ទ	ការ-បំបែក-កិរិយាសព្ទ
ការបំបែកនាម	ការ-បំបែក-នាម
ការប៉ះទង្គិច	ការ-ប៉ះទង្គិច
ការប្រថុជ្ជន	ការ-ប្រថុជ្ជន
ការប្រាក់	ការ-ប្រាក់
ការពារ	ការ-ពារ
ការពារជាតិ	ការពារ-ជាតិ
ការពារប្រទេស	ការពារ-ប្រទេស
ការពិត	ការ-ពិត
ការរញ្ជួយដី	ការ-រញ្ជួយ-ដី
ការរបរ	ការ-របរ
ការសាធារណៈ	ការ-សាធារណៈ
ការស្ងាប	ការ-ស្ងាប
ការអ្វីៗ	ការ-អ្វី-ៗ
ការាត់	កា-រាត់
ការិនី	កា-រិនី
ការិយកម្ម	ការិយ-កម្ម
ការិយបរិច្ឆេទ	ការិយ-បរិច្ឆេទ
ការិយាធិបតេយ្យ	កា-រិយា-ធិប-តេយ្យ
ការិយាល័យឥណទាន	ការិយាល័យ-ឥណទាន
ការីម៉ាឃិធីង	ការី-ម៉ាឃិធីង
ការុញ្ញចិត្ត	ការុញ្ញ-ចិត្ត
ការុញ្ញភាព	ការុញ្ញ-ភាព
ការុញ្ញហេតុ	ការុញ្ញ-ហេតុ
ការុណិក	កា-រុ-ណិក
ការ៉ាតេដូ	ការ៉ាតេ-ដូ
ការ៉ាស់សាំង	ការ៉ាស់-សាំង
ការ៉ូឡា	ការ៉ូ-ឡា
ការ៉េម	ការ៉េ-ម
ការ៉េមកី	ការ៉េម-កី
ការ្យសិល្បៈ	ការ្យ-សិល្បៈ
កាលកិរិយា	កាល-កិរិយា
កាលកំណត់	កាល-កំណត់
កាលដែល	កាល-ដែល
កាលបរិច្ឆេទ	កាល-បរិច្ឆេទ
កាលប្បវត្តិ	កាល-ប្ប-វត្តិ
កាលប្រវត្តិ	កាល-ប្រវត្តិ
កាលប្រវត្តិវិទ្យា	កាល-ប្រវត្តិវិទ្យា
កាលពីដើម	កាលពី-ដើម
កាលវសាន	កាល-វ-សាន
កាលវិទ្យា	កាល-វិទ្យា
កាលវិបត្តិ	កាល-វិបត្តិ
កាលវិភាគ	កាល-វិភាគ
កាលសម័យ	កាល-សម័យ
កាលសម័យបុរេប្រវត្តិ	កាលសម័យ-បុរេប្រវត្តិ
