កករចិត្ត	កករ-ចិត្ត
ស្ទើរស្លាប់ស្ទើររស់	ស្ទើរ-ស្លាប់-ស្ទើរ-រស់
ស្នងការ	ស្នង-ការ
ស្នងការដ្ឋាន	ស្នង-ការដ្ឋាន
ស្នងព្រះនេត្រ	ស្នង-ព្រះនេត្រ
ស្នងព្រះហស្ដ	ស្នង-ព្រះហស្ដ
ស្នងព្រះហស្ត	ស្នង-ព្រះហស្ត
ស្នងព្រះអង្គុលី	ស្នង-ព្រះ-អង្គុលី
ស្នងភ្នែក	ស្នង-ភ្នែក
ស្នងរូប	ស្នង-រូប
ស្នាចជ្រោង	ស្នាច-ជ្រោង
ស្នាចទូក	ស្នាច-ទូក
ស្នាដៃ	ស្នា-ដៃ
ស្នាតក	ស្នា-ត-ក
ស្នាតកបត្រ	ស្នាតក-បត្រ
ស្នាតិកា	ស្នា-តិ-កា
ស្នាតែះ	ស្នា-តែះ
ស្នានកាល	ស្នាន-កាល
ស្នានកិច្ច	ស្នាន-កិច្ច
ស្នានគ្រឹះ	ស្នាន-គ្រឹះ
ស្នានពស្ត្រ	ស្នាន-ពស្ត្រ
ស្នានពិធី	ស្នាន-ពិធី
ស្នានព័ស្ត្រ	ស្នាន-ព័ស្ត្រ
ស្នានភាណ្ឌ	ស្នាន-ភាណ្ឌ
ស្នានភូមិ	ស្នាន-ភូមិ
ស្នានវេស្ម័ន	ស្នាន-វេស្ម័ន
ស្នានស្ថាន	ស្នាន-ស្ថាន
ស្នានីយ	ស្នា-នី-យ
ស្នានីយពស្ត្រ	ស្នានីយ-ពស្ត្រ
ស្នានីយព័ស្ត្រ	ស្នានីយ-ព័ស្ត្រ
ស្នានីយភណ្ឌ	ស្នានីយ-ភណ្ឌ
ស្នានីយភាណ្ឌ	ស្នានីយ-ភាណ្ឌ
ស្នានីយវារី	ស្នានីយ-វារី
ស្នាន—	ស្នាន-—
ស្នាបក	ស្នា-បក
ស្នាបកៈ	ស្នាប-កៈ
ស្នាបិកា	ស្នា-បិកា
ស្នាប់ដេរ	ស្នាប់-ដេរ
ស្នាប់ដៃ	ស្នាប់-ដៃ
ស្នាប់ព្រះជង្ឃ	ស្នាប់-ព្រះ-ជង្ឃ
ស្នាប់ព្រះសិរ	ស្នាប់-ព្រះសិរ
ស្នាប់ព្រះឧរុ	ស្នាប់-ព្រះ-ឧរុ
ស្នាប់ព្រះឩរូ	ស្នាប់-ព្រះ-ឩរូ
ស្នាប់ភ្លៅ	ស្នាប់-ភ្លៅ
ស្នាប់មុខ	ស្នាប់-មុខ
ស្នាប់ម្រាមដៃ	ស្នាប់-ម្រាមដៃ
ស្នាប់—	ស្នាប់-—
ស្នាមចិត្ត	ស្នាម-ចិត្ត
ស្នាមភ្លោះ	ស្នាម-ភ្លោះ
ស្នាយដែល	ស្នាយ-ដែល
ស្នាលស្និទ្ធ	ស្នាល-ស្និទ្ធ
ស្និទ្ធជិត	ស្និទ្ធ-ជិត
ស្និទ្ធស្នាល	ស្និទ្ធ-ស្នាល
ស្និទ្ធស្នេហា	ស្និទ្ធ-ស្នេហា
ស្និទ្ធស្នេហ៍	ស្និទ្ធ-ស្នេហ៍
ស្និទ្ធ—	ស្និទ្ធ-—
ស្នឹមចិត្ត	ស្នឹម-ចិត្ត
ស្នូកជ្រលក់	ស្នូក-ជ្រលក់
ស្នូកជ្រូក	ស្នូក-ជ្រូក
ស្នូរទះដៃ	ស្នូរ-ទះដៃ
ស្នូលប្រទេស	ស្នូល-ប្រទេស
ស្នូលពោត	ស្នូល-ពោត
ស្នៀតពោត	ស្នៀត-ពោត
ស្នៀតសក់	ស្នៀត-សក់
ស្នេហ៍មុខ	ស្នេហ៍-មុខ
ស្នេហ៍ស្នង	ស្នេហ៍-ស្នង
ស្នេហ៍ស្និទ្ធ	ស្នេហ៍-ស្និទ្ធ
ស្នេហ៍ហឺត	ស្នេហ៍-ហឺត
ស្នេហ៍ហៃ	ស្នេហ៍-ហៃ
ស្នែងក្របី	ស្នែង-ក្របី
ស្នែងទន់	ស្នែង-ទន់
ស្នែងទន្សោង	ស្នែង-ទន្សោង
ស្នែងទីទុយ	ស្នែង-ទីទុយ
ស្នែងពពែ	ស្នែង-ពពែ
ស្នោទក	ស្នោ-ទក
ស្បថប្រណិធាន	ស្បថ-ប្រណិធាន
ស្បថលាងខ្លួន	ស្បថ-លាងខ្លួន
ស្បថស្បែ	ស្បថ-ស្បែ
ស្បិតរឹត	ស្បិត-រឹត
ស្បូនស្រុត	ស្បូន-ស្រុត
ស្បូវភ្លាំង	ស្បូវ-ភ្លាំង
ស្បូវរណ្ដាស	ស្បូវ-រណ្ដាស
ស្បើយគ្រោះថ្នាក់	ស្បើយ-គ្រោះថ្នាក់
ស្បើយរហើយ	ស្បើយ-រ-ហើយ
ស្បើយអាគក	ស្បើយ-អាគក
ស្បែកចុងលិង្គ	ស្បែក-ចុង-លិង្គ
ស្បែកជើង	ស្បែក-ជើង
ស្បែកជើងឃ្លុប	ស្បែកជើង-ឃ្លុប
ស្បែកជើងផ្ទាត់	ស្បែកជើង-ផ្ទាត់
ស្បែកជើងសង្រែក	ស្បែកជើង-សង្រែក
ស្បែកដណ្ដប់មុខយោនី	ស្បែក-ដណ្ដប់-មុខ-យោនី
ស្បែកសង្កួត	ស្បែក-សង្កួត
ស្បែស្បថ	ស្បែ-ស្បថ
ស្បៃកា	ស្បៃ-កា
ស្បៃរាត្រី	ស្បៃ-រាត្រី
ស្បៃរឿង	ស្បៃ-រឿង
ស្បៃរឿងទេស	ស្បៃរឿង-ទេស
ស្បៃរោយ	ស្បៃ-រោយ
ស្ប៉ិចអេឡិចត្រូម៉ាញ៉េទិក	ស្ប៉ិច-អេឡិចត្រូម៉ាញ៉េទិក
ស្ពានមេត្រី	ស្ពាន-មេត្រី
ស្ពានយោល	ស្ពាន-យោល
ស្ពានរំលង	ស្ពាន-រំលង
ស្ពានអាកាស	ស្ពាន-អាកាស
ស្ពាន់ក្រាប	ស្ពាន់-ក្រាប
ស្ពាន់ក្រាប់	ស្ពាន់-ក្រាប់
ស្ពាន់ធ័រ	ស្ពាន់-ធ័រ
ស្ពាន់ស	ស្ពាន់-ស
ស្ពាយឆៀង	ស្ពាយ-ឆៀង
ស្ពាយលៀង	ស្ពាយ-លៀង
ស្ពឹកស្រពន់	ស្ពឹក-ស្រពន់
ស្ពឺចក្រ	ស្ពឺ-ចក្រ
ស្ពឺផ្នោះ	ស្ពឺ-ផ្នោះ
ស្ពៃក្ដោប	ស្ពៃ-ក្ដោប
ស្ពៃក្រញាញ់	ស្ពៃ-ក្រញាញ់
ស្ពៃខៀវ	ស្ពៃ-ខៀវ
ស្ពៃខ្មៅ	ស្ពៃ-ខ្មៅ
ស្ពៃគោក	ស្ពៃ-គោក
ស្ពៃចង្កឹះ	ស្ពៃ-ចង្កឹះ
ស្ពៃជើងទា	ស្ពៃ-ជើងទា
ស្មន់អន្ធករ	ស្មន់-អន្ធករ
ស្មរបន្ទាល់	ស្មរ-បន្ទាល់
ស្មសាន	ស្ម-សាន
ស្មាក្ដី	ស្មា-ក្ដី
ស្មាគម	ស្មា-គម
ស្មាច់ដោម	ស្មាច់-ដោម
ស្មាជិក	ស្មា-ជិ-ក
ស្មាជិកា	ស្មា-ជិ-កា
ស្មាទាន	ស្មា-ទាន
ស្មានជា	ស្មាន-ជា
ស្មានថា	ស្មាន-ថា
ស្មាភាព	ស្មា-ភាព
ស្មារតី	ស្មារ-តី
ស្មារលា	ស្មារ-លា
ស្មារលាទោស	ស្មារលា-ទោស
ស្មិងស្មាធិ៍	ស្មិង-ស្មាធិ៍
ស្មុគស្មាញ	ស្មុគ-ស្មាញ
ស្មុតទ្រុឌ	ស្មុត-ទ្រុឌ
ស្មូញស្មាញ	ស្មូញ-ស្មាញ
ស្មូនឆ្នាំង	ស្មូន-ឆ្នាំង
ស្មូរជន	ស្មូរ-ជន
ស្មើដោយ	ស្មើ-ដោយ
ស្មើនឹង	ស្មើ-នឹង
ស្មើភាគ	ស្មើ-ភាគ
ស្មើភាព	ស្មើ-ភាព
ស្មើមុខ	ស្មើ-មុខ
ស្មើហើយ!	ស្មើហើយ-!
ស្មៀនជំនួយ	ស្មៀន-ជំនួយ
ស្មៀនត្រា	ស្មៀន-ត្រា
ស្មៀនរង	ស្មៀន-រង
ស្មៀនសាលា	ស្មៀន-សាលា
ស្មៀនស្មេរ	ស្មៀន-ស្មេរ
ស្មោកគ្រោក	ស្មោក-គ្រោក
ស្មោះងារ	ស្មោះ-ងារ
ស្មោះចំពោះ	ស្មោះ-ចំពោះ
ស្មោះត្រង់	ស្មោះ-ត្រង់
ស្មោះសរ	ស្មោះ-សរ
ស្មោះស្មាន	ស្មោះ-ស្មាន
ស្មោះស្មើ	ស្មោះ-ស្មើ
ស្មោះស្ម័គ្រ	ស្មោះ-ស្ម័គ្រ
ស្មៅកិលេស	ស្មៅ-កិលេស
ស្មៅតណ្ហា	ស្មៅ-តណ្ហា
ស្មៅព្រៅ	ស្មៅ-ព្រៅ
ស្មៅស្រូបពិសពស់	ស្មៅ-ស្រូប-ពិសពស់
ស្ម័គ្រចិត្ត	ស្ម័គ្រ-ចិត្ត
ស្ម័គ្របក្សពួក	ស្ម័គ្រ-បក្សពួក
ស្ម័គ្រស្មាគម	ស្ម័គ្រ-ស្មាគម
ស្ម័គ្រស្មាន	ស្ម័គ្រ-ស្មាន
ស្ម័គ្រស្មោះ	ស្ម័គ្រ-ស្មោះ
ស្យាមប្រទេស	ស្យាម-ប្រទេស
ស្យាមព័ណ៌	ស្យាម-ព័ណ៌
ស្យាមរដ្ឋ	ស្យាម-រដ្ឋ
ស្យាមរាស្ត្រ	ស្យាម-រាស្ត្រ
ស្រកក់	ស្រ-កក់
ស្រកសាច់	ស្រក-សាច់
ស្រកស្រុត	ស្រក-ស្រុត
ស្រកាក	ស្រកា-ក
ស្រកាក្ដាម	ស្រកា-ក្ដាម
ស្រកានាគ	ស្រកា-នាគ
ស្រកាពង្រូល	ស្រកា-ពង្រូល
ស្រកីដូង	ស្រកី-ដូង
ស្រកីអណ្ដែង	ស្រកី-អណ្ដែង
ស្រកូក	ស្រ-កូក
ស្រកេក	ស្រ-កេក
ស្រកោក	ស្រ-កោក
ស្រខក់	ស្រ-ខក់
ស្រខូវ	ស្រ-ខូវ
ស្រគត់ស្រគំ	ស្រគត់-ស្រគំ
ស្រគាល	ស្រ-គា-ល
ស្រគាំ	ស្រ-គាំ
ស្រគិលស្រគុល	ស្រ-គិល-ស្រគុល
ស្រគុក	ស្រ-គុក
ស្រគុល	ស្រ-គុល
ស្រគែល	ស្រ-គែល
ស្រគោម	ស្រ-គោម
ស្រឃិលស្រឃុល	ស្រ-ឃិ-ល-ស្រឃុល
ស្រឃុល	ស្រ-ឃុ-ល
ស្រងាក	ស្រ-ងាក
ស្រងាកស្ដាប់ផ្គរ	ស្រងាក-ស្ដាប់-ផ្គរ
ស្រងាំ	ស្រ-ងាំ
ស្រងូត	ស្រ-ងូត
ស្រងូតស្រងាត់	ស្រងូត-ស្រងាត់
ស្រងៀវ	ស្រ-ងៀវ
ស្រងេវ	ស្រ-ងេ-វ
ស្រងេះស្រងោច	ស្រងេះ-ស្រងោច
ស្រងោច	ស្រ-ងោច
ស្រង់ដើម	ស្រង់-ដើម
ស្រង់ព្រះ	ស្រង់-ព្រះ
ស្រដាស់	ស្រ-ដាស់
ស្រដៀង	ស្រ-ដៀង
ស្រណាង	ស្រ-ណាង
ស្រណាន	ស្រ-ណា-ន
ស្រណុកខ្លួន	ស្រណុក-ខ្លួន
ស្រណុកចិត្ត	ស្រណុក-ចិត្ត
ស្រណោះ	ស្រ-ណោះ
ស្រតឹក	ស្រ-តឹក
ស្រតូវ	ស្រ-តូ-វ
ស្រទន់	ស្រ-ទន់
ស្រទាង	ស្រ-ទាង
ស្រទាប់	ស្រ-ទាប់
ស្រទាប់ម៉ង់តូ	ស្រទាប់-ម៉ង់-តូ
ស្រទាប់វប្បធម៌	ស្រទាប់-វប្បធម៌
ស្រទៀក	ស្រ-ទៀ-ក
ស្របក់	ស្រ-បក់
ស្របក់ស្របាល	ស្របក់-ស្របាល
ស្របច្បាប់	ស្រប-ច្បាប់
ស្របាក់ស្របាល	ស្រ-បាក់-ស្របាល
ស្របាល	ស្រ-បាល
ស្របាំង	ស្រ-បាំង
ស្រប៉ាប	ស្រ-ប៉ា-ប
ស្រប៉ើក	ស្រ-ប៉ើក
ស្រប៉េក	ស្រ-ប៉េក
ស្រប៉េកស្រប៉ើក	ស្រប៉េក-ស្រប៉ើក
ស្រប៉ែក	ស្រ-ប៉ែក
ស្រប៉ែកស្រប៉ើក	ស្រប៉ែក-ស្រប៉ើក
ស្រពន់	ស្រ-ពន់
ស្រពន់ចិត្ត	ស្រពន់-ចិត្ត
ស្រពព្រះភក្ដ្រ	ស្រព-ព្រះ-ភក្ដ្រ
ស្រពាប	ស្រ-ពា-ប
ស្រពាប់	ស្រ-ពាប់
ស្រពាប់ស្រពោន	ស្រពាប់-ស្រពោន
ស្រពិល	ស្រ-ពិល
ស្រពឹល	ស្រ-ពឹល
ស្រពេចស្រពិល	ស្រពេច-ស្រពិល
ស្រពេចស្រពឹល	ស្រពេច-ស្រពឹល
ស្រពោន	ស្រ-ពោន
ស្រពោនមុខ	ស្រពោន-មុខ
ស្រពោនស្រពាប់	ស្រពោន-ស្រពាប់
ស្រមណក្រឹត្យ	ស្រមណ-ក្រឹត្យ
ស្រមណប្រតិបត្តិ	ស្រមណ-ប្រតិបត្តិ
ស្រមណប្រតិប័ទ	ស្រមណ-ប្រតិប័ទ
ស្រមណសក្ដិ	ស្រមណ-សក្ដិ
ស្រមណសព្ទ	ស្រមណ-សព្ទ
ស្រមណស័ក្ដិ	ស្រមណ-ស័ក្ដិ
ស្រមណី	ស្រ-មណី
ស្រមណ—	ស្រមណ-—
ស្រមាក់	ស្រ-មាក់
ស្រមាញ	ស្រ-មា-ញ
ស្រមាម	ស្រ-មា-ម
ស្រមាមប៉ាក	ស្រមាម-ប៉ាក
ស្រមឹក	ស្រ-មឹក
ស្រមុក	ស្រ-មុក
ស្រមុតចិត្ត	ស្រមុត-ចិត្ត
ស្រមុយ	ស្រ-មុយ
ស្រមូញស្រមាញ	ស្រមូញ-ស្រមាញ
ស្រមូមស្រមាម	ស្រមូម-ស្រមាម
ស្រមូល	ស្រ-មូល
ស្រមើង	ស្រមើ-ង
ស្រមើល	ស្រ-មើល
ស្រមៀន	ស្រ-មៀន
ស្រមេក	ស្រ-មេក
ស្រមេកស្រមក	ស្រមេក-ស្រមក
ស្រមេម	ស្រ-មេ-ម
ស្រមេមស្រមាម	ស្រមេម-ស្រមាម
ស្រមេវ	ស្រ-មេ-វ
ស្រមេវស្រមូវ	ស្រមេវ-ស្រមូវ
ស្រមោច	ស្រ-មោច
ស្រមោចក្រវែលស្ករ	ស្រមោច-ក្រវែល-ស្ករ
ស្រមោចវាររសេវរសាវ	ស្រមោច-វារ-រសេវរសាវ
ស្រយង់	ស្រ-យង់
ស្រយង់ចិត្ត	ស្រយង់-ចិត្ត
ស្រយាក	ស្រ-យាក
ស្រយាល	ស្រ-យាល
ស្រយាវ	ស្រ-យាវ
ស្រយុត	ស្រ-យុត
ស្រយុតស្រយង់	ស្រយុត-ស្រយង់
ស្រយូវ	ស្រ-យូ-វ
ស្រយូវសន្ទូច	ស្រយូវ-សន្ទូច
ស្រយើល	ស្រ-យើ-ល
ស្រលាប	ស្រ-លាប
ស្រលិត	ស្រ-លិ-ត
ស្រលឹង	ស្រ-លឹង
ស្រលឹប	ស្រ-លឹប
ស្រលឺកឺ	ស្រ-លឺ-កឺ
ស្រលុង	ស្រ-លុង
ស្រលូង	ស្រ-លូ-ង
ស្រលួត	ស្រ-លួត
ស្រលួតណិល	ស្រលួត-ណិល
ស្រលួតស្រឡះ	ស្រលួត-ស្រឡះ
ស្រលួន	ស្រ-លួ-ន
ស្រលើកើ	ស្រលើ-កើ
ស្រលៀង	ស្រ-លៀង
ស្រលៀងស្រឡើ	ស្រលៀង-ស្រឡើ
ស្រលេញ	ស្រ-លេញ
ស្រលេត	ស្រ-លេ-ត
ស្រលេវ	ស្រ-លេវ
ស្រលែវ	ស្រ-លែ-វ
ស្រវន្តី	ស្រ-វន្តី
ស្រវាក់ស្រវាន់	ស្រវាក់-ស្រវាន់
ស្រវាវេច	ស្រវា-វេច
ស្រវាស្រទេញ	ស្រវា-ស្រទេញ
ស្រវាឱប	ស្រវា-ឱប
ស្រវាំង	ស្រ-វាំង
ស្រវឹង	ស្រ-វឹង
ស្រវឹងកាម	ស្រវឹង-កាម
ស្រវឹងគំនិត	ស្រវឹង-គំនិត
ស្រវឹងចិត្ត	ស្រវឹង-ចិត្ត
ស្រវឹងទ្រព្យ	ស្រវឹង-ទ្រព្យ
ស្រវឹងបុណ្យ	ស្រវឹង-បុណ្យ
ស្រវឹងសម្បត្តិ	ស្រវឹង-សម្បត្តិ
ស្រស់ញញឹម	ស្រស់-ញញឹម
ស្រស់បំព្រង	ស្រស់-បំព្រង
ស្រស់ប៉ប្រិម	ស្រស់-ប៉ប្រិម
ស្រស់ប៉ប្រៃ	ស្រស់-ប៉ប្រៃ
ស្រស់ស្រាយ	ស្រស់-ស្រាយ
ស្រស់ស្រូប	ស្រស់-ស្រូប
ស្រស់ស្រោង	ស្រស់-ស្រោង
ស្រឡក់	ស្រ-ឡក់
ស្រឡប់	ស្រ-ឡប់
ស្រឡាង	ស្រ-ឡាង
ស្រឡាញ់	ស្រ-ឡាញ់
ស្រឡាញ់ផ្កាប់មុខ	ស្រឡាញ់-ផ្កាប់មុខ
ស្រឡាប	ស្រ-ឡាប
ស្រឡាំងកាំង	ស្រឡាំង-កាំង
ស្រឡឹប	ស្រ-ឡឹប
ស្រឡូង	ស្រ-ឡូង
ស្រឡូន	ស្រ-ឡូ-ន
ស្រឡើកើ	ស្រឡើ-កើ
ស្រឡេត	ស្រ-ឡេ-ត
ស្រឡេវ	ស្រ-ឡេវ
ស្រឡែវ	ស្រ-ឡែ-វ
ស្រឡោកោ	ស្រឡោ-កោ
ស្រឡោច	ស្រឡោ-ច
ស្រឡះដៃ	ស្រឡះ-ដៃ
ស្រឡះមុខមាត់	ស្រឡះ-មុខមាត់
ស្រឡះស្រលួន	ស្រឡះ-ស្រលួន
ស្រឡះស្រឡំ	ស្រឡះ-ស្រឡំ
ស្រអាប់	ស្រ-អាប់
ស្រអិប	ស្រ-អិ-ប
ស្រអឹប	ស្រ-អឹ-ប
ស្រអែត	ស្រ-អែ-ត
ស្រអែម	ស្រ-អែម
ស្រអ៊ុំ	ស្រ-អ៊ុំ
ស្រអ័ព្ទ	ស្រ-អ័ព្ទ
ស្រាកស្រាន្ត	ស្រាក-ស្រាន្ត
ស្រាក់ៗ	ស្រាក់-ៗ
ស្រាថ្នាំ	ស្រា-ថ្នាំ
ស្រាទំពាំងបាយជូរ	ស្រា-ទំពាំងបាយជូរ
ស្រាបៀរ	ស្រាបៀ-រ
ស្រាប់តែ	ស្រាប់-តែ
ស្រាពណី	ស្រា-ព-ណី
ស្រាយគំនុំ	ស្រាយ-គំនុំ
ស្រាយបំភ្លឺ	ស្រាយ-បំភ្លឺ
ស្រាលដូចសំឡី	ស្រាល-ដូច-សំឡី
ស្រាលដូចស្នោ	ស្រាល-ដូច-ស្នោ
ស្រាលស្ងើក	ស្រាល-ស្ងើក
ស្រាលស្ដើង	ស្រាល-ស្ដើង
ស្រាល់ជ្រើស	ស្រាល់-ជ្រើស
ស្រាវក	ស្រាវ-ក
ស្រាវជ្រាវ	ស្រាវ-ជ្រាវ
ស្រាវណមាស	ស្រាវណ-មាស
ស្រាវណី	ស្រាវ-ណី
ស្រាវិកា	ស្រា-វិ-កា
ស្រាវ័ក	ស្រា-វ័ក
ស្រាំង	ស្រាំ-ង
ស្រិចៗ	ស្រិច-ៗ
ស្រិបស្រៀប	ស្រិប-ស្រៀប
ស្រិបៗ	ស្រិប-ៗ
ស្រីកាឡកិណី	ស្រី-កាឡកិណី
ស្រីខូច	ស្រី-ខូច
ស្រីចូលម្លប់	ស្រី-ចូលម្លប់
ស្រីប្រសើរ	ស្រី-ប្រសើរ
ស្រីពូជអាប	ស្រី-ពូជ-អាប
ស្រីមតី	ស្រី-មតី
ស្រីម័ត	ស្រី-ម័ត
ស្រីសាធារណ៍	ស្រី-សាធារណ៍
ស្រីសឹង្គារ	ស្រី-សឹង្គារ
ស្រីសួស្ដី	ស្រី-សួស្ដី
ស្រីសោភ័ណ	ស្រី-សោភ័ណ
ស្រីសោភ័ន	ស្រី-សោភ័ន
ស្រីស្នំក្រមការ	ស្រីស្នំ-ក្រមការ
ស្រីស្រឹង្គារ	ស្រី-ស្រឹង្គារ
ស្រឹង្គមច្ឆា	ស្រឹង្គ-មច្ឆា
ស្រឹង្គមច្ឆៈ	ស្រឹង្គ-មច្ឆៈ
ស្រឹង្គសត្វ	ស្រឹង្គ-សត្វ
ស្រឹង្គារភាសិត	ស្រឹង្គារ-ភាសិត
ស្រឹង្គាររស	ស្រឹង្គារ-រស
ស្រឹបស្រៀប	ស្រឹប-ស្រៀប
ស្រឹបៗ	ស្រឹប-ៗ
ស្រឺតៗ	ស្រឺត-ៗ
ស្រុកកើតកង្វល់	ស្រុក-កើត-កង្វល់
ស្រុកកើតខ្យល់ព្យុះ	ស្រុក-កើត-ខ្យល់ព្យុះ
ស្រុកកើតសម្បហារ	ស្រុក-កើត-សម្បហារ
ស្រុកកំណើត	ស្រុក-កំណើត
ស្រុកទន្លេ	ស្រុក-ទន្លេ
ស្រុកទេស	ស្រុក-ទេស
ស្រុកបំផុតដែន	ស្រុក-បំផុត-ដែន
ស្រុកលើ	ស្រុក-លើ
ស្រុកសម្បូណ៌	ស្រុក-សម្បូណ៌
ស្រុកសួយ	ស្រុក-សួយ
ស្រុកស្ងប់	ស្រុក-ស្ងប់
ស្រុកហោចល្អោញ	ស្រុក-ហោចល្អោញ
ស្រុកអណ្ណាម	ស្រុក-អណ្ណាម
ស្រុកអត់ឃ្លាន	ស្រុក-អត់ឃ្លាន
ស្រុកអត់បាយ	ស្រុក-អត់បាយ
ស្រុញគំនិត	ស្រុញ-គំនិត
ស្រុតិធរ	ស្រុតិ-ធរ
ស្រុតិធរា	ស្រុតិ-ធរា
ស្រុះគ្នាដូចអង្ក្រង	ស្រុះគ្នា-ដូច-អង្ក្រង
ស្រុះដៃ	ស្រុះ-ដៃ
ស្រុះស្រួល	ស្រុះ-ស្រួល
ស្រូតរូត	ស្រូត-រូត
ស្រូវដាក់គ្រាប់	ស្រូវ-ដាក់គ្រាប់
ស្រូវដាក់ទឹកដោះ	ស្រូវ-ដាក់-ទឹកដោះ
ស្រូវធ្វើខ្លួន	ស្រូវ-ធ្វើ-ខ្លួន
ស្រូវបង្កើនរដូវ	ស្រូវ-បង្កើន-រដូវ
ស្រូវបែក	ស្រូវ-បែក
ស្រូវប្រដេញទឹក	ស្រូវ-ប្រដេញទឹក
ស្រូវប្រាំង	ស្រូវ-ប្រាំង
ស្រូវផើម	ស្រូវ-ផើម
ស្រូវពន្លៃ	ស្រូវ-ពន្លៃ
ស្រូវពាយ	ស្រូវ-ពាយ
ស្រូវពូជ	ស្រូវ-ពូជ
ស្រូវមូលដើម	ស្រូវ-មូល-ដើម
ស្រូវវារ	ស្រូវ-វារ
ស្រូវសាលី	ស្រូវ-សាលី
ស្រូវសាឡី	ស្រូវ-សាឡី
ស្រូវស្លាបសេក	ស្រូវ-ស្លាបសេក
ស្រូវឡើងទឹក	ស្រូវ-ឡើង-ទឹក
ស្រួចរលែម	ស្រួច-រលែម
ស្រួចស្រាល់	ស្រួច-ស្រាល់
ស្រួចស្រាល់នីយកម្ម	ស្រួចស្រាល់-នី-យ-កម្ម
ស្រួចស្រាវ	ស្រួច-ស្រាវ
ស្រួយខ្ញោក	ស្រួយ-ខ្ញោក
ស្រួយស្រឹង	ស្រួយ-ស្រឹង
ស្រួយស្រឹប	ស្រួយ-ស្រឹប
ស្រួយស្រែស	ស្រួយ-ស្រែស
ស្រួលកក្អៀក	ស្រួល-កក្អៀក
ស្រួលខ្លួន	ស្រួល-ខ្លួន
ស្រួលបួល	ស្រួល-បួល
ស្រួលស្រេច	ស្រួល-ស្រេច
ស្រើបស្រាល	ស្រើប-ស្រាល
ស្រើបស្រួល	ស្រើប-ស្រួល
ស្រៀវគ្រុន	ស្រៀវ-គ្រុន
ស្រៀវស្រស់	ស្រៀវ-ស្រស់
ស្រៀវស្រាញ	ស្រៀវ-ស្រាញ
ស្រេកឃ្លាន	ស្រេក-ឃ្លាន
ស្រេចតែ	ស្រេច-តែ
ស្រេចបាច់	ស្រេច-បាច់
ស្រេចស្រាប់	ស្រេច-ស្រាប់
ស្រេចហោង!	ស្រេច-ហោង-!
ស្រែកចណ្ឌាល	ស្រែក-ចណ្ឌាល
ស្រែកបែកក្ដឹះ	ស្រែក-បែក-ក្ដឹះ
ស្រែកឱ្យពរឱ្យជ័យ	ស្រែក-ឱ្យពរ-ឱ្យ-ជ័យ
ស្រែងកង្កែប	ស្រែង-កង្កែប
ស្រែងជ្វា	ស្រែង-ជ្វា
ស្រែងដែក	ស្រែង-ដែក
ស្រែងផេះ	ស្រែង-ផេះ
ស្រែជម្រៅ	ស្រែ-ជម្រៅ
ស្រែជើងស្រុក	ស្រែ-ជើងស្រុក
ស្រែជើងស្រុកសំបុកជើងលាន	ស្រែជើងស្រុក-សំបុក-ជើង-លាន
ស្រែបុណ្យ	ស្រែ-បុណ្យ
ស្រែប្រាំង	ស្រែ-ប្រាំង
ស្រែពង្រោះ	ស្រែ-ពង្រោះ
ស្រែមួរ	ស្រែ-មួរ
ស្រែវស្សា	ស្រែ-វស្សា
ស្រែអំបិល	ស្រែ-អំបិល
ស្រែឧទ្ទាម	ស្រែ-ឧទ្ទាម
ស្រោកទឹក	ស្រោក-ទឹក
ស្រោចទឹក	ស្រោច-ទឹក
ស្រោចស្រង់	ស្រោច-ស្រង់
ស្រោចស្រព	ស្រោច-ស្រព
ស្រោបដណ្ដប់	ស្រោប-ដណ្ដប់
ស្រោមខួរ	ស្រោម-ខួរ
ស្រោមជើង	ស្រោម-ជើង
ស្រោមដៃ	ស្រោម-ដៃ
ស្រោមអនាម័យ	ស្រោម-អនាម័យ
ស្រោលៗ	ស្រោល-ៗ
ស្រះបោក្ខរណី	ស្រះ-បោក្ខរណី
ស្រះស្រង់	ស្រះ-ស្រង់
ស្រះស្រី	ស្រះ-ស្រី
ស្រៈទីឃៈ	ស្រៈ-ទីឃៈ
ស្រៈទោល	ស្រៈ-ទោល
ស្រៈផ្សំ	ស្រៈ-ផ្សំ
ស្រៈពេញតួ	ស្រៈ-ពេញតួ
ស្រៈល្បាយ	ស្រៈ-ល្បាយ
ស្លក់ស្លាំង	ស្លក់-ស្លាំង
ស្លន់ស្លោ	ស្លន់-ស្លោ
ស្លស្លុក	ស្ល-ស្លុក
ស្លាកន្សែង	ស្លា-កន្សែង
ស្លាកស្នាម	ស្លាក-ស្នាម
ស្លាកាត់	ស្លា-កាត់
ស្លាកំញាន	ស្លា-កំញាន
ស្លាក់ស្លើត	ស្លាក់-ស្លើត
ស្លាក់ស្លែង	ស្លាក់-ស្លែង
ស្លាក្រក	ស្លា-ក្រក
ស្លាចំណិត	ស្លា-ចំណិត
ស្លាឆ្អើរ	ស្លា-ឆ្អើរ
ស្លាជម	ស្លា-ជម
ស្លាជីប	ស្លា-ជីប
ស្លាជ្វា	ស្លា-ជ្វា
ស្លាឈ្មោល	ស្លា-ឈ្មោល
ស្លាតម្ពុល	ស្លា-តម្ពុល
ស្លាតាឱន	ស្លា-តាឱន
