word	status	source	decision	note
កេះដី	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កែបកង់	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កែបសេះ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កៃណរ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កៃលឿង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កោតចិត្ត	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កោតញញើត	approved	reviewed	standard	no Chuon definition; legacy word
កោតតែ	approved	reviewed	standard	no Chuon definition; legacy word
កោះកែ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កោះកែវ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កោះគ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កោះចិន	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កោះចេក	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កោះច្រែង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កោះតាង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កោះតូច	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កោះប៉ង់	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កោះពស់	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កោះពាក់	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កោះពីរ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កោះព្រីង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កោះព្រះ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កោះរកា	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កោះរុង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កោះរះ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កោះសេះ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំចាំង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំណ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំណូត	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំតាត់	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំនេង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំបត់	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំបូល	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំបែកកំបាក់	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំប៉ង់	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំប៉ិក	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំប៉ិច	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំប៉ិត	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំប៉ិស	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំប៉ូវ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំប៉េ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំប៉ែប	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំប្រូង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំផែះ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំផ្លេ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំពង់លួង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំពល់	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំពេ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំពេញ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំពេះ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំព្រាយ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំព្រីង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំភុន	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំភ្លៅ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កំរង	approved	sbbic-khmer-wordlist	variant	legacy orthography
កំរាប	approved	sbbic-khmer-wordlist	variant	legacy orthography
កំរាស់	approved	sbbic-khmer-wordlist	variant	legacy orthography
កំរិត	approved	sbbic-khmer-wordlist	variant	legacy orthography
កំរើក	approved	sbbic-khmer-wordlist	variant	legacy orthography
